vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a105101, (고용형태)고용형태 설문 응답여부
a105102, (고용형태)근로형태 확인
a105103, (고용형태)기간제 근로여부
a105104, (고용형태)근로계약기간(년)
a105105, (고용형태)근로계약기간(개월)
a105106, (고용형태)근로계약기간(일)
a105107, (고용형태)시간제 근로
a105108, (고용형태)비기간제한시근로 판별1
a105109, (고용형태)비기간제한시근로 판별2
a105110, (고용형태)프로젝트베이스근로
a105111, (고용형태)대체근로
a105112, (고용형태)성과계약제
a105113, (고용형태)계약기간 없는 임시직 형태
a105114, (고용형태)계약기간 정한 임시직 형태
a105115, (고용형태)계절근로 
a105116, (고용형태) a105103 문항의 기간제 근로 재확인
a105117, (고용형태) 근로계약기간 정한 시기(년)
a105118, (고용형태) 근로계약기간 정한 시기(월)
a105119, (고용형태) 근로계약기간 정한 시기(일)
a105120, (고용형태)한시근로 
a105121, (고용형태)비한시임시근로
a105200, (고용형태)안정적 일자리 선호
a105201, (고용형태)현재 고용형태 주된 이유
a105202, (고용형태)고용형태 변경여부
a105203, (고용형태) 현 직장 정규직 근로자 있는지 여부
a105204, (고용형태)동일한 승진기회 여부
a105205, (고용형태)동일한 인사고과 기준 받는지  여부
a105206, (고용형태)동일한 훈련과 교육기회 여부
a105207, (고용형태)동일한 임금 책정 여부
a105208, (고용형태)동일한 퇴직금 책정 여부
a105209, (고용형태)동일한 기준으로 상여금 책정 여부
a105210, (고용형태)동일한 사회보험 가입되었는지 여부
a105211, (고용형태)정규직으로 전환 기회 유무
a105212, (고용형태)심사를 통한 고용형태 전환 제도 유무
a105213, (고용형태)일정 기간 회사 근무시 고용형태 자동 전환제도 유무
a105214, (고용형태)고용형태 전환대상자 전환 여부
a105215, (고용형태)현 직장 동료와 같은 고용형태로 전환 희망
a105216, (고용형태)동일한 업무를 하는 다른 고용형태 동료 있는지 여부
a105217, (고용형태)함께 일하는 상급자 유무
a105218, (고용형태)함께 일하는 상급자와 동일한 고용형태인지 여부
a105219, (고용형태)함께 일하는 하급자 유무
a105220, (고용형태)함께 일하는 하급자와 동일한 고용형태인지 여부
a105221, (고용형태) 첫 직장인지 여부
a105222, (고용형태)전 직장과 같은 고용형태인지 여부
a105223, (고용형태)전 직장 정규직이었는지 여부
a105300, (고용형태)현재 주로 일하고 있는 장소
a105301, (고용형태)임금을 고객회사에서 받는지 여부
a105302, (고용형태)인력 파견 및 용역회사에 근무 여부
a105303, (고용형태)업무지시를 받는지 곳(일하는 곳 VS 임금 받는 곳)
a105304, (고용형태)현재 근무중인 회사 종업원들과 함께 일하는지 여부
a105305, (고용형태)고객회사가 2개 이상인지 여부
a105306, (고용형태)복수의 고객회사에서 근무 여부
a105307, (고용형태)대체로 고객회사에서 근무 여부
a105308, (고용형태)고객사회 계약 종료 후 배치 사업장
a105309, (고용형태)회사 복귀 후 임금 변화 여부
a105310, (고용형태)현재 회사와 계속 일할 수 있는지 여부
a105311, (고용형태)다른 고객회사로 배치 전까지의 임금처리 문제
a105312, (고용형태)다른 고개회사로 배치 전까지의 교육훈련 기회 제고 여부
a105313, (고용형태)임금을 주는 회사와 근로계약 체결 여부
a105314, (고용형태)임금을 주는 회사와 근로계약(년)
a105315, (고용형태)임금을 주는 회사와 근로계약(개월)
a105316, (고용형태)임금을 주는 회사와 근로계약(일)
a105317, (고용형태)일하고 있는 회사와 근로계약 체결 여부
a105318, (고용형태)일하고 있는 회사와 근로계약(년)
a105319, (고용형태)일하고 있는 회사와 근로계약(개월)
a105320, (고용형태)일하고 있는 회사와 근로계약(일)
a105321, (고용형태)임금을 주는 회사에 소속감
a105322, (고용형태)실제 일하고 있는 회사에 소속감
a105323, (고용형태)임금을 주는 회사가 2개 이상인지 여부
a105324, (고용형태)주된 일자리가 고객회사인지 임금을 주는 회사인지 여부
a105327, (고용형태)일하는 곳의 업종(산업) - code
a105329, (고용형태)일하는 곳에서 업무(직업) - code
a105330, (고용형태)일하는 곳의 전체 종업원 수
