vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a200101,(의사결정) 목표 숫자 5 승리 여부
a200102,(의사결정) 목표 숫자 11 승리 여부
a200103,(의사결정) 목표 숫자 14 승리 여부
a200104,(의사결정) 목표 숫자 17 승리 여부
a200201,(의사결정) 1번 째 라운드의 위치
a200202,(의사결정) 1번 째 라운드의 선택
a200203,(의사결정) 2번 째 라운드의 위치
a200204,(의사결정) 2번 째 라운드의 선택
a200205,(의사결정) 3번 째 라운드의 위치
a200206,(의사결정) 3번 째 라운드의 선택
a200207,(의사결정) 4번 째 라운드의 위치
a200208,(의사결정) 4번 째 라운드의 선택
a200209,(의사결정) 5번 째 라운드의 위치
a200210,(의사결정) 5번 째 라운드의 선택
a200301,(의사결정) 정답 개수
a200401,(의사결정) 자율응답 여부
version,21차년도 release 자료
