vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a072501,(여가)근무시간결정방법
a072511,(여가)사용시간(시간)-1.출/퇴근
a072512,(여가)사용시간(시간)- 2.작업준비및정리
a072513,(여가)사용시간(시간)-3.업무의대기및인수인계
a072514,(여가)사용시간(시간)-4.식사시간
a072515,(여가)사용시간(시간)-5.휴식
a072516,(여가)사용시간(시간)- 6.업무외전화및대인접촉
a072521,(여가)사용시간(분)-1.출/퇴근
a072522,(여가)사용시간(분)-2.작업준비및정리
a072523,(여가)사용시간(분)-3.업무의대기및인수인계
a072524,(여가)사용시간(분)-4.식사시간
a072525,(여가)사용시간(분)-5.휴식
a072526,(여가)사용시간(분)-6.업무외전화및대인접촉
a072531,(여가)정기휴일
a072532,(여가)정기휴일전날근무형태
a072533,(여가)정기휴일전날휴무형태
a072534,(여가)정기휴일전날시행시기
a072535,(여가)정기휴일전날시행시기(년)
a072536,(여가)정기휴일전날시행시기(월)
a072537,(여가)평일근로시간조정
a072541,(여가)직장에서쉬도록되어있는날-1.신정
a072542,(여가)직장에서쉬도록되어있는날-2.삼일절
a072543,(여가)직장에서쉬도록되어있는날-3.식목일
a072544,(여가)직장에서쉬도록되어있는날-4.석가탄신일
a072545,(여가)직장에서쉬도록되어있는날-5.노동절
a072546,(여가)직장에서쉬도록되어있는날-6.어린이날
a072547,(여가)직장에서쉬도록되어있는날-7.현충일
a072548,(여가)직장에서쉬도록되어있는날-8.제헌절
a072549,(여가)직장에서쉬도록되어있는날-9.광복절
a072550,(여가)직장에서쉬도록되어있는날-10.개천절
a072551,(여가)직장에서쉬도록되어있는날-11.성탄절
a072561,(여가)실제로 쉰 날-1.신정
a072562,(여가)실제로 쉰 날-2.삼일절
a072563,(여가)실제로쉰날-3.식목일
a072564,(여가)실제로쉰날-4.석가탄신일
a072565,(여가)실제로쉰날-5.노동절
a072566,(여가)실제로쉰날-6.어린이날
a072567,(여가)실제로쉰날-7.현충일
a072568,(여가)실제로쉰날-8.제헌절
a072569,(여가)실제로쉰날-9.광복절
a072570,(여가)실제로쉰날-10.개천절
a072571,(여가)실제로쉰날-11.성탄절
a072581,(여가)직장에서쉬도록되어있는날-1.설전날
a072582,(여가)직장에서쉬도록되어있는날-2.설날
a072583,(여가)직장에서쉬도록되어있는날-3.설다음날
a072584,(여가)직장에서쉬도록되어있는날-4.추석전날
a072585,(여가)직장에서쉬도록되어있는날-5.추석
a072586,(여가)직장에서쉬도록되어있는날-6.추석다음날
a072591,(여가)실제로쉰날-1.설 전날
a072592,(여가)실제로쉰날-2.설날
a072593,(여가)실제로쉰날-3.설다음날
a072594,(여가)실제로쉰날-4.추석전날
a072595,(여가)실제로쉰날-5.추석
a072596,(여가)실제로쉰날-6.추석다음날
a072601,(여가)직장에서쉬도록되어있는날-1.회사창립일
a072602,(여가)직장에서쉬도록되어있는날-2.노조창립일
a072603,(여가)직장에서쉬도록되어있는날-3.기타휴무일
a072611,(여가)실제로쉰날-1.회사창립일
a072612,(여가)실제로쉰날-2.노조창립일
a072613,(여가)실제로쉰날-3.기타휴무일
a072621,(여가)사용여부-1.공가
a072622,(여가)사용여부-2.병가
a072623,(여가)사용여부-3.경조휴가
a072624,(여가)사용여부-4.포상휴가
a072625,(여가)사용여부-기타휴가1
a072626,(여가)사용여부-기타휴가2
a072631,(여가)사용한기간-1.공가
a072632,(여가)사용한기간-2.병가
a072633,(여가)사용한기간-3.경조휴가
a072634,(여가)사용한기간-4.포상휴가
a072635,(여가)사용한기간-기타휴가1
a072636,(여가)사용한기간-기타휴가2
a072641,(여가)연월차휴가유무
a072642,(여가)사용할수있었던연월차휴가
a072643,(여가)실제로사용한연월차휴가
a072644,(여가)연월차수당지급
a072645,(여가)연월차휴가희망일자사용
a072646,(여가)연월차휴가사용회사방침
a072647,(여가)주5일제시행시연월차사용
a072651,(여가)하계휴가
a072652,(여가)유급하계휴가일수
a072653,(여가)무급하계휴가일수
a072654,(여가)생리휴가사용여부
